	5.6831, 100.9106
    5.2144, 100.6151
    5.6552, 100.5292
    6.2413, 100.4322
    5.3411, 100.5649
    6.124, 100.3684
    6.346, 99.7904
    6.2465, 100.57771
    5.9717, 100.5149
    6.103, 100.6163
    5.9903, 100.8149
    5.7855, 100.3724
    6.433, 100.2604
    6.4396, 100.1926
    6.6605, 100.3115
    6.3968, 100.1296
    4.1963, 101.2591
    4.0183, 101.0063
    5.4456, 101.1119
    4.2006, 101.1533
    5.1251, 100.4892
    4.628, 101.0969
    4.7668, 100.9476
    4.8495, 100.7405
    4.1809, 100.6397
    3.7046, 101.5054
    4.3657, 100.9592
    5.3765, 100.2203
    5.2625, 100.5106
    5.3486, 100.4835
    5.517, 100.4488
    5.4271, 100.3056
    3.3004, 101.6403
    3.1997, 101.8567
    3.5617, 101.6572
    3.0239, 101.4591
    2.8002, 101.501
    3.3494, 101.2847
    3.1061, 101.56
    2.8062, 101.7149
    3.5526, 101.163
    2.927, 102.1048
    2.8037, 102.4204
    2.6997, 102.2345
    2.5887, 101.8439
    2.5854, 102.1607
    2.6966, 102.0411
    2.472, 102.2541
    2.4007, 102.2874
    2.2546, 102.4441
    2.2543, 102.211
    3.5665, 101.972
    3.1845, 102.4674
    4.4943, 101.4454
    3.9943, 102.4137
    3.8688, 103.168
    4.2476, 102.0838
    3.5411, 102.7734
    3.1067, 103.4038
    3.9023, 101.8093
    2.7158, 103.5037
    3.4409, 102.4912
    5.6143, 102.5593
    4.7962, 103.368
    5.1014, 102.8963
    4.2366, 103.3029
    5.3656, 103.0888
    5.237, 102.9944
    5.1419, 103.1551
    5.5172, 102.7597
    6.0291, 102.399
    4.8685, 101.9528
    5.7054, 101.8576
    6.1383, 102.3051
    5.4841, 102.2662
    4.7919, 101.9418
    5.7593, 102.25
    6.0174, 102.1169
    5.8006, 102.4117
    5.8106, 102.089
    6.2273, 102.0956
    1.9544, 102.855
    1.4975, 103.6163
    1.9862, 103.3282
    1.7148, 103.8964
    1.6484, 103.6006
    2.2693, 102.5338
    2.4299, 103.8459
    2.0708, 102.578
    1.4666, 103.4566
    2.3814, 102.9532
    3.115613, 101.6658253
    2.9229, 101.7022
    5.2829, 115.2465
    5.2785, 115.7155
    5.724, 117.0953
    5.375, 116.1947
    5.3412, 116.9476
    6.3491, 116.4742
    5.9587, 116.0825
    6.7827, 117.1405
    5.4317, 115.4671
    6.7424, 116.7502
    4.7209, 118.0433
    5.0568, 118.5361
    5.0399, 116.4458
    5.6987, 115.977
    5.9167, 116.0701
    6.733, 117.053
    5.885, 116.05
    6.0171, 116.7419
    1.4772, 110.6861
    1.3558, 110.1983
    3.2904, 114.0719
    1.4644, 111.6233
    2.7224, 113.3289
    2.3534, 112.1557
    2.6715, 111.4317
    1.9804, 111.748
    1.8867, 112.1411
    1.9737, 112.8569
    1.5554, 110.327
    4.491, 115.4821
    4.7549, 114.8559
    1.0887, 111.8828
    1.7497, 109.7889
    2.2077, 111.6266
    4.2913, 114.2963
    2.7948, 111.6835
    3.6056, 113.8107
    2.9047, 112.2649
    1.4261, 110.3249
    1.7615, 111.6857
    1.4381, 110.4571
    1.7486, 111.3362
    2.1179, 111.5693
    2.5243, 112.325
    1.2155, 110.5741
    2.3027, 111.8864
    1.0871, 110.8881
    1.7051, 112.7747
    1.1862, 111.4494
    2.8711, 112.8515
    6.467, 100.538
    2.733373, 101.780115
    3.1778829, 101.6980172
    3.214643, 101.6321572
    3.1062989, 101.7160751
    4.4328547, 117.1242054
    5.7854993, 117.7674817
    6.0523082, 116.0387552
    4.6418713, 115.100617
    4.5012741, 118.272575
